編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
1,1,53226365,富來登事業有限公司,N支援服務業(建築物一般清潔服務業),墜落、滾落,1,萊爾富國際股份有限公司,23285582,萊爾富超商招牌清洗作業,萊爾富國際股份有限公司公正店,2283,宜蘭縣羅東鎮公正路342號,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-12-28,是,01
2,2,97022281,大有營造股份有限公司,F營造業(其他土木工程業),跌倒,1,柯○○,無,柯○○住宅新建工程,「柯○○住宅新建工程」工地,2272,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-28,否,02
3,3,,合秦建設有限公司,L不動產業(不動產開發業),物體倒塌、崩塌,2,,,合秦建設有限公司新建工程,開挖區,2273,彰化縣花壇鄉彰員路1段429號旁,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-27,是,02
4,4,33956722,樺嶺企業股份有限公司,C製造業(鋁鑄造業),感電,1,樺嶺企業股份有限公司,33956722,,鋁擠型成品包裝區,2278,鹽水區岸內里蔦松腳13之6號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-12-26,是,03
5,5,,王OO(即順陞海事工程行),F營造業(其他土木工程業),溺斃,1,交通部航港局,,委任廠商進行無名貨船擱淺船體移除等事宜案,無名貨船擱淺處海岸,2283,,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-12-25,否,01
6,6,,佳和實業股份有限公司,C製造業(棉毛紡紗業),,1,,,布廠新裝機台24台配管配電工程,官田廠織布廠地下室,umb://document/35d344a135f2490f94a466f0b50746c4,臺南市官田區工業路11號,,2019,2019-12-25,是,
7,7,,博勝實業股份有限公司,C製造業(機車零件製造業),被夾、被捲,1,,,,博勝實業股份有限公司油壓作業區,2278,臺南市永康區王行里王行路68巷6之2號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-12-24,是,03
8,8,,宏林營造廠股份有限公司,F營造業(建築工程業),衝撞,1,聯虹建設股份有限公司,,聯虹天耀2集合住宅新建工程,地下3樓,2267,新北市林口區吉祥路176號旁,新北市政府勞動檢查處,2019,2019-12-23,是,05
9,9,,國記營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,臺北市政府都市發展局,,（106建236）臺北市北投區奇岩公宅新建工程,臺北市北投區磺港路288號對面,2266,北投區磺港路288號對面,臺北市勞動檢查處,2019,2019-12-20,是,04
10,10,,岱盟工程有限公司,F營造業(建築工程業),墜落、滾落,1,國聚建設有限公司,,國聚建設永富段新建工程,於1樓室內閱覽室跨坐於合梯頂板(高度約1.73公尺)以交叉拉桿進行牆面螺桿拆除作業時，隨合梯傾倒墜落,2272,臺中市南屯區龍富路四段437號旁,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-19,是,02
11,11,,富強輪胎工廠股份有限公司,C製造業(輪胎製造業),物體飛落,1,,,,富強輪胎工廠股份有限公司,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-19,否,02
12,12,,良記營造股份有限公司,F營造業(其他專門營造業),感電,1,台灣電力股份有限公司,,林口電廠更新擴建計畫第三期灰塘工程,鄰近林口電廠地磅站旁,2267,新北市林口區下福里139之1號,新北市政府勞動檢查處,2019,2019-12-19,是,05
13,13,,南投縣鹿谷鄉公所,O公共行政及國防；強制性社會安全(政府機關),墜落、滾落,1,無,,無,南投縣鹿谷鄉外城巷(外城分8號電桿前10公尺處),2274,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-13,否,02
14,14,16750540,江浚實業有限公司,E用水供應及污染整治業(非有害廢棄物處理業),被撞,1,,,,臺北市士林區延平北路七段1號,2266,臺北市士林區延平北路七段1號,臺北市勞動檢查處,2019,2019-12-12,是,04
15,15,,陳○○,F營造業(其他專門營造業),墜落、滾落,1,合禮企業股份有限公司,,合禮企業股份有限公司外牆拉皮工程,合禮公司廠房建物外牆,2268,桃園市龜山區文明三街6號,桃園市政府勞動檢查處,2019,2019-12-11,是,06
16,16,,麗富康國際股份有限公司,G批發及零售業(化粧品批發業),物體飛落,1,麗富康國際股份有限公司,,,麗富康國際股份有限公司股東張○○住宅,2271,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-10,否,02
17,17,,泉國工業股份有限公司大溪廠,C製造業(鋼鐵軋延及擠型業),墜落、滾落,1,,,,泉國工業股份有限公司大溪廠（址設：桃園市大溪區信義路240之1號）之大門前庭遮雨棚,2268,桃園市大溪區信義路240之1號,桃園市政府勞動檢查處,2019,2019-12-10,是,06
18,18,,踴隆企業有限公司,C製造業(製材業),物體倒塌、崩塌,1,-,,-,踴隆企業有限公司之廠區第三條路,2279,高雄市大寮區會結二路３２６巷３７號,高雄市政府勞工局勞動檢查處,2019,2019-12-10,是,09
19,19,,萬安保全股份有限公司,N支援服務業(保全及偵探業),其他交通事故,1,台灣美光記憶體(股)公司,,,台灣美光記憶體(股)公司台中二廠,2272,,中部科學園區管理局,2019,2019-12-05,否,12
20,20,,泉元室內裝潢工程有限公司,F營造業(建物完工裝修工程業),墜落、滾落,1,信義房屋股份有限公司,,新莊副都心一小段362、362-1地號雅朵花園接待中心裝修工程,地上1樓,2267,,新北市政府勞動檢查處,2019,2019-12-04,否,05
21,21,,泛亞工程建設股份有限公司,F營造業(其他專門營造業),溺斃,3,台灣中油股份有限公司,,第三座液化天然氣接收站建港及圍堤造地新建工程,臺北港南堤側海上,2267,新北市八里區臺北港北7之2至9之1碼頭,新北市政府勞動檢查處,2019,2019-12-01,是,05
22,22,,匯潔事業有限公司,N支援服務業(建築物一般清潔服務業),跌倒,1,,,,新北市中和區中山路2段232巷21號,2267,新北市中和區中山路2段232巷21號,新北市政府勞動檢查處,2019,2019-11-29,是,05
23,23,,邱OO,A農、林、漁、牧業(其他農作物栽培業),墜落、滾落,1,無,,無,臺中市北屯區OO巷OO號旁竹林斜坡,2272,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-28,否,02
24,24,,胡○○,A農、林、漁、牧業(漁撈業),被撞,1,,,,,2265,,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-11-27,否,01
25,25,,大佳土木包工業有限公司,F營造業(建築工程業),墜落、滾落,1,林○○、林○○,,林○○、林○○住宅裝修工程,林○○、林○○住宅1樓,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-11-27,否,03
26,26,,志佳營造有限公司,F營造業(道路工程業),墜落、滾落,1,新竹縣尖石鄉公所,,108年4月21日豪大雨竹60線45K+100等3處(C1類)災害復建工程,,2270,新竹縣尖石鄉竹60線29K+900,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-11-25,是,01
27,27,,安研企業有限公司,G批發及零售業(建材零售業),墜落、滾落,1,,,走遍天下食品有限公司工廠整修工程,地上3樓,2267,新北市瑞芳區頂坪路104號,新北市政府勞動檢查處,2019,2019-11-24,是,05
28,28,,悅騰建設股份有限公司,F營造業(建築工程業),墜落、滾落,1,悅騰建設股份有限公司,,西屯區上石碑段集合住宅新建工程,1樓大廳走道,2272,臺中市西屯區西屯路二段與弘孝路口,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-22,是,02
29,29,,李00,M專業、科學及技術服務業(未分類其他專業、科學及技術服務業),被夾、被捲,1,,,,00工程有限公司,2271,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-21,否,02
30,30,42923364,勝多立科技有限公司,C製造業(其他塑膠製品製造業),被撞,1,,,,臺南市永康區正南三路237號,2278,臺南市永康區正南三路237號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-11-21,是,03
31,31,35882520,中華電線電纜股份有限公司,C製造業(電線及電纜製造業),物體飛落,1,,,,空軸存放區,2267,,新北市政府勞動檢查處,2019,2019-11-20,否,05
32,32,,吳OO,S其他服務業(其他個人服務業),公路交通事故,1,,,,新北市板橋區篤行路2段與滿平街口,2267,新北市板橋區篤行路2段與滿平街口,新北市政府勞動檢查處,2019,2019-11-20,是,05
33,33,,自營作業者謝OO,F營造業(其他專門營造業),墜落、滾落,1,觀音廟管理委員會,,觀音廟屋頂剪黏工程,觀音廟,2268,桃園市大溪區信義路460巷33-1號,桃園市政府勞動檢查處,2019,2019-11-18,是,06
34,34,,舜勝水電工程有限公司,F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,康儀科技股份有限公司,,康儀科技股份有限公司龜山倉庫天花板水銀燈維修工程,龜山倉庫3樓出貨貨梯出入口前方處,2268,桃園市龜山區頂湖路86號,桃園市政府勞動檢查處,2019,2019-11-15,是,06
35,35,17183926,宇捷裝潢工程行,F營造業(建物完工裝修工程業),墜落、滾落,1,駿寳建設股份有限公司,29085415,駿寶建設股份有限公司新建工程,自屋突電梯井墜落至高度約15公尺1樓機坑內或自4樓電梯井墜落至高度約11.8公尺1樓機坑內,2272,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-14,否,02
36,36,53432055,聖鋒營造有限公司,F營造業(道路工程業),公路交通事故,1,臺北市政府工務局新建工程處,03775007,108年度全市橋涵維護工程開口契約第5標(士林、北投區),大度路往社子方向匝道、第2條伸縮縫、外車道處,2266,,臺北市勞動檢查處,2019,2019-11-12,否,04
37,37,,金春福營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,新竹市政府,,新竹市元培街148巷拓寬至大坪頂(8公尺路寬)工程,新竹市元培街148巷0K+415,2269,新竹市元培街148巷0K+415,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-11-10,是,01
38,38,,基正營造有限公司,F營造業(建築工程業),墜落、滾落,1,金昇國際股份有限公司,,朝陽科大至霧峰區電影文化城第一期社區前蓄水池工程,「朝陽科大至霧峰區電影文化城第一期社區前蓄水池工程」工地,2272,臺中市霧峰區吉峰東路168號朝陽科大後山,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-10,是,02
39,39,,林OO,H運輸及倉儲業(汽車貨運業),物體倒塌、崩塌,1,國勝建材有限公司,23286528,,水泥堆置場,2267,,新北市政府勞動檢查處,2019,2019-11-08,否,05
40,40,,滿心企業股份有限公司,G批發及零售業(服裝及其配件零售業),不能歸類,1,漢神名店百貨股份有限公司,,,高雄市前金區成功一路266-1號8樓,2279,,高雄市政府勞工局勞動檢查處,2019,2019-11-08,是,09
41,41,,豆穌朋食品股份有限公司,C製造業(烘焙炊蒸食品製造業),被夾、被捲,1,,,,新北市新店區寶興路45巷6弄10號,2267,,新北市政府勞動檢查處,2019,2019-11-06,否,05
42,42,,台灣電力股份有限公司台南區營業處,D電力及燃氣供應業(電力供應業),墜落、滾落,1,,,108年甲工區妨礙配電線路樹竹修剪工作,台南市佳里區子龍里段產業道路佳麻高幹編號#58左7右8電桿旁,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-11-05,否,03
43,43,12136930,春原營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,臺北市政府工務局新建工程處,03775007,北部流行音樂中心興建工程（北基地零星工程）,臺北市南港區市民大道8段99號,2266,臺北市南港區市民大道8段99號,臺北市勞動檢查處,2019,2019-11-05,是,04
44,44,,晉瀚企業有限公司,F營造業(其他專門營造業),墜落、滾落,1,南投縣草屯鎮富功國民小學,,富功樓停用貨梯啟用評估工作,南投縣草屯鎮富功國民小學富功樓,2274,南投縣草屯鎮富寮里中正路567號,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-04,是,02
45,45,,泰源建材有限公司,F營造業(整地、基礎及結構工程業),墜落、滾落,1,國防部憲兵指揮部,,(108拆117)南京營區拆除工程,臺北市松山區南京東路3段340號,2266,松山區南京東路3段340號,臺北市勞動檢查處,2019,2019-11-04,是,04
46,46,,陳OO(自營作業者),F營造業(其他建築設備安裝業),溺斃,1,瑞獅企業有限公司,80190143,,臺北市信義區忠孝東路5段133號1樓,2266,,臺北市勞動檢查處,2019,2019-11-04,否,04
47,47,,葉OO、葉OO,F營造業(其他專門營造業),墜落、滾落,1,黃００,,黃OO民宅整修工程,1樓室內工作臺旁,2274,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-02,否,02
48,48,,瑩泰土木包工業,F營造業(其他土木工程業),被夾、被捲,1,行政院農業委員會水土保持局臺南分局,,東山區紅龍果生產環境改善工程,大客里南99-1線往東原方向的產業道路,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-11-02,否,03
49,49,,東億環保實業有限公司,E用水供應及污染整治業(非有害廢棄物清除業),跌倒,1,無,,無,回收場內鏟土機旁,2272,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-01,否,02
50,50,,蘇○○,F營造業(其他土木工程業),被夾、被捲,1,-,,屋頂油漆工程,新竹縣湖口鄉(電動軌道鐵門),2270,,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-10-31,否,01
51,51,53365561,動力育樂有限公司,N支援服務業(個人及家庭用品租賃業),物體倒塌、崩塌,1,,,,動力育樂有限公司旁空地,2268,桃園市大溪區員林路2段382巷78弄31號旁空地。,桃園市政府勞動檢查處,2019,2019-10-31,是,06
52,52,,豪豐營造股份有限公司,F營造業(建築工程業),感電,1,王○○,,桃園市大園區港口段40地號等1筆新建工程,桃園市大園區港口段40地號,2268,桃園市大園區港口段40地號,桃園市政府勞動檢查處,2019,2019-10-31,是,06
53,53,,施○○（即均盛發工程行）,E用水供應及污染整治業(廢水及污水處理業),其他,1,,,水處理場水池清理礦泥移除工作,中國鋼鐵股份有限公司W5水場外廠內道路,2279,高雄市小港區中鋼路1號,高雄市政府勞工局勞動檢查處,2019,2019-10-30,是,09
54,54,,溫OO,S其他服務業(汽車維修業),被撞,1,,,,自宅,2268,,桃園市政府勞動檢查處,2019,2019-10-29,否,06
55,55,20561107,貝民股份有限公司香山廠,C製造業(化學原材料製造業),與有害物等之接觸,1,無,,無,貝民股份有限公司香山廠硫酸O槽回收泵,2269,,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-10-28,否,01
56,56,,京杭建設有限公司,L不動產業(不動產開發業),墜落、滾落,1,,,吾映良品11期住宅工程,B8棟4樓露台,2278,麻豆區寮子廍2之80號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-10-28,是,03
57,57,85623957,日商鹿島營造股份有限公司臺灣分公司,F營造業(道路工程業),墜落、滾落,1,台灣電力股份有限公司輸變電工程處北區施工處,86829892,松湖~大安、深美~大安345kV電纜線路潛盾洞道暨附屬機電統包工程,地下深度約51公尺隧道內,2266,臺北市松山區敦化南路1段,臺北市勞動檢查處,2019,2019-10-26,是,04
58,58,,昇揚營造有限公司,F營造業(其他土木工程業),墜落、滾落,1,國立故宮博物院,,南部院區園區景觀藝術化親子互動區工程,本工程地下室機房處,2277,嘉義縣太保市故宮大道888號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-10-23,是,03
59,59,86964812,威勝營造有限公司,F營造業(其他土木工程業),被夾、被捲,1,交通部高速公路局第二新建工程處,00972378,國道高速公路後續路段橋梁耐震補強工程(台南路段)第M37G標,國道高速公路烏山頭北上出口交流道南側約700公尺本工程編號P43L基樁,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-10-22,否,03
60,60,,盈舜營造有限公司,F營造業(建築工程業),墜落、滾落,1,國城建設股份有限公司,,獅甲段B基地大樓(高雄市獅甲段一小段526地號)新建工程,高雄市前鎮區中華五路與復興三路口/獅甲段一小段526地號,2279,獅甲段一小段526地號,高雄市政府勞工局勞動檢查處,2019,2019-10-20,是,09
61,61,34202841,榮成紙業股份有限公司,C製造業(紙漿製造業),被夾、被捲,1,榮成紙業股份有限公司,,,榮成紙業股份有限公司,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-10-19,否,02
62,62,,甲乙營造工程有限公司,F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,豪氣建設有限公司,,潮寮北段24戶透天新建工程,高雄市大寮區華中南路178之3號旁(施工架),2279,高雄市大寮區華中南路178之5號,高雄市政府勞工局勞動檢查處,2019,2019-10-17,是,09
63,63,,協俐鑄造股份有限公司山上廠,C製造業(鋼鐵鑄造業),跌倒,1,,,,臺南市山上區明和里北勢洲21之8號,2278,臺南市山上區明和里北勢洲21之8號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-10-15,是,03
64,64,83076928,優食台灣股份有限公司,H運輸及倉儲業(汽車貨運業),公路交通事故,1,-,83076928,-,-,,臺北市士林區中正路 580 號前,臺北市勞動檢查處,2019,2019-10-13,是,04
65,65,86858360,奕捷營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,陳OO、毅楓建設有限公司,,東海首璽住宅新建工程,5樓外牆施工架,2282,花蓮縣吉安鄉東海六街33號對面,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-10-10,是,01
66,66,,昕辰營造有限公司,F營造業(其他專門營造業),墜落、滾落,3,環偉實業股份有限公司,,焚化爐上方屋頂增建工程,屋頂,2274,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-10-10,否,02
67,67,53926705,,,,1,,53926705,,,,,桃園市政府勞動檢查處,2019,2019-10-10,,06
68,68,,張○○,H運輸及倉儲業(汽車貨運業),衝撞,1,蔡○○（即福泰企業行）,,,新竹縣關西鎮牛欄河48之5號旁,2270,,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-10-07,否,01
69,69,,謝OO,F營造業(其他專門營造業),墜落、滾落,1,,,固定式起重機主機維修工程,固定式起重機主機維修平台,2268,八德區長安街61號,桃園市政府勞動檢查處,2019,2019-10-07,是,06
70,70,16956141,豐本生物科技股份有限公司,C製造業(肥料及氮化合物製造業),墜落、滾落,1,-,,-,豐本生物科技股份有限公司廠房西北方肥料儲槽區之桶槽間隙,2272,,臺中市勞動檢查處,2019,2019-10-04,否,07
71,71,12918651,昇明營造工程有限公司,F營造業(建築工程業),墜落、滾落,1,林謝○○,,住宅新建工程,建築物右側外牆施工架,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-10-03,否,02
72,72,85416107,蔡OO（即榮豐鐵工廠）,C製造業(其他通用機械設備製造業),被夾、被捲,1,鳳勝實業股份有限公司朴子廠,16093742,機械設備維修工程,鳳勝公司朴子廠拌合機房,2277,嘉義縣朴子市竹村里朴子工業區一街１６號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-10-02,是,03
73,73,,蔡OO,G批發及零售業(未分類其他非店面零售業),溺斃,1,,,,新北市貢寮區和美街44之1號下方九孔池,2267,,新北市政府勞動檢查處,2019,2019-10-02,否,05
74,74,,鴻春工業股份有限公司,C製造業(粉末冶金業),墜落、滾落,1,,,,鴻春工業股份有限公司,2271,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-09-29,否,02
75,75,49701774,冠軍建材股份有限公司,C製造業(其他陶瓷製品製造業),感電,1,,,,冠軍建材股份有限公司製一課施釉線,2271,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-09-27,否,02
76,76,,陳00,F營造業(建物完工裝修工程業),墜落、滾落,1,陳00,,陳00內湖區內湖路2段103巷102號7樓室內裝修工程,7樓後陽臺,2266,,臺北市勞動檢查處,2019,2019-09-27,否,04
77,77,,嘉泰營造股份有限公司,F營造業(建築工程業),感電,1,昱錩建設股份有限公司,,昱錩建設關渡案新建工程,地上1樓夾層,2267,新北市淡水區自強路419號旁,新北市政府勞動檢查處,2019,2019-09-27,是,05
78,78,28011984,弘光開發營造股份有限公司,F營造業(其他土木工程業),物體飛落,1,帛豐建材工程有限公司,22496883,帛豐建材工程有限公司廠房新建工程,工區內東北方之臨時作業區,2268,平鎮區洪圳路及快速路1段交叉口旁,桃園市政府勞動檢查處,2019,2019-09-26,是,06
79,79,,築禾營造有限公司,F營造業(建築工程業),墜落、滾落,1,禾康開發有限公司,,禾康居11戶住宅新建工程,本工程A2戶4樓樓版外部吊料平臺處,2276,嘉義市東區信興街156號旁工地,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-09-20,是,03
80,80,,新旺工程股份有限公司,F營造業(整地、基礎及結構工程業),物體倒塌、崩塌,1,崧益建設有限公司,,崧益建設有限公司新建工程,地下3樓,2267,新北市蘆洲區民義街9巷口,新北市政府勞動檢查處,2019,2019-09-20,是,05
